amt,distance,city_pop,trans_hour,trans_dayofweek,trans_month,is_night,age,fraud_probability,flag
65.93,122.36519283421086,1078,17,5,11,0,30.1492128678987,0.00026976527,0
61.72,70.18858174566384,6841,17,2,1,0,20.591375770020534,7.129843e-05,0
81.11,60.7593487870286,631,17,5,12,0,-53.13347022587269,0.0001574666,0
73.17,64.9109721456352,626,4,6,12,1,-41.034907597535934,0.00064641365,0
5.5,114.09798458254532,47772,7,2,10,0,-46.23956194387406,8.326482e-05,0
75.76,113.97584760200381,20478,18,5,5,0,21.95208761122519,0.00010647282,0
6.63,73.39341969645976,258,16,5,6,0,-42.444900752908964,0.00036030915,0
6.9,122.90667058919601,8512,5,6,11,1,-31.794661190965094,0.0367459,0
39.88,61.00324616527284,2870,13,5,6,0,20.298425735797398,0.00023429816,0
52.53,87.61074477387322,765,9,4,1,0,-53.41820670773443,0.003667756,0
8.98,78.04666374194821,94325,9,0,10,0,32.07939767282683,0.05738484,0
14.14,84.6157246085615,2317,12,5,10,0,-44.82683093771389,0.00069784984,0
87.14,40.18901389430715,409656,10,6,12,0,-10.830937713894592,0.00012603564,0
28.07,77.40703036253572,427,13,1,10,0,-31.310061601642712,0.00043209235,0
85.63,63.53494891246477,328,13,5,1,0,35.46885694729637,6.6529865e-05,0
28.37,19.824006523777193,647,15,6,11,0,32.12320328542094,6.276422e-05,0
61.25,75.80729676303089,247,11,2,3,0,-41.63997262149213,0.0001896127,0
29.79,114.05372440435819,1334,12,3,6,0,32.525667351129364,0.0007072964,0
1.33,66.5054154031933,1789,15,5,7,0,37.45379876796714,8.0492755e-06,0
4.27,90.65538854693577,718,23,1,10,0,34.573579739904176,0.004220423,0
166.37,120.44031466757424,331,18,0,12,0,-30.694045174537987,0.00026773848,0
414.08,106.65092205827752,320420,13,0,11,0,-55.69883641341547,0.0004655189,0
24.56,117.0854169923835,12335,16,0,8,0,31.93429158110883,0.0020802638,0
143.94,90.67075951870956,3807,13,6,11,0,20.082135523613964,0.001068378,0
40.0,67.13277820353531,1810,9,0,8,0,-55.38672142368241,0.00017836805,0
47.84,77.80487529554028,6713,13,3,9,0,-25.935660506502394,0.00044704665,0
3.13,76.94956794140084,2317,11,0,9,0,-44.97467488021903,7.510225e-05,0
76.1,32.410518702784856,258,16,0,5,0,-42.5160848733744,0.0007554485,0
49.98,64.69282690133903,2054,10,6,11,0,-43.75085557837098,0.0056901625,0
6.98,30.820611229982855,4354,20,3,2,0,25.032169746748803,0.0011657826,0
58.85,93.38935760282101,144160,22,2,9,0,35.3347022587269,0.0025946777,0
243.24,59.29380693659249,5161,5,2,11,1,26.579055441478438,0.0057014776,0
8.97,56.38336417457402,258,17,4,3,0,-24.791238877481177,0.019340867,0
